Make,Model,Burn Rate,Per Hour Cost,Annual Utilization (Hours)
Item A,Item A1,110,4004,535
Item A,Item A2,52,2680,438
Item A,Item A3,81,2365,512
Item A,Item A4,162,5167,496
Item A,Item A5,141,4574,493
Item A,Item A6,99,5442,309
Item A,Item A7,118,5153,394
Item A,Item A8,103,3419,371
Item A,Item A9,127,5413,491
Item A,Item A10,93,3513,465
Item A,Item A11,122,3973,500
Item A,Item A12,94,4202,320
Item A,Item A13,148,4564,507
Item A,Item A14,116,4498,539
Item A,Item A15,115,3308,510
Item A,Item A16,167,5441,466
Item A,Item A17,100,4297,385
Item A,Item A18,53,1629,437
Item A,Item A19,115,3649,378
Item A,Item A20,145,4365,411
Item A,Item A21,165,5343,313
Item A,Item A22,125,2160,539
Item A,Item A23,52,2141,414
Item A,Item A24,55,4738,414
Item A,Item A25,87,3979,429
Item A,Item A26,155,3248,461
Item A,Item A27,55,2640,492
Item A,Item A28,85,2975,376
Item A,Item A29,67,2615,458
Item A,Item A30,112,1512,379
Item A,Item A31,167,5131,414
Item A,Item A32,147,1979,365
Item A,Item A33,107,3940,311
Item A,Item A34,160,1770,535
Item A,Item A35,104,1997,498
Item A,Item A36,168,5427,425
Item A,Item A37,146,3276,524
Item A,Item A38,120,3938,462
Item A,Item A39,103,5217,548
Item A,Item A40,81,5280,419
Item A,Item A41,56,3473,333
Item A,Item A42,96,2693,406
Item B,Item B1,120,4341,326
Item C,Item C1,167,3453,407
Item C,Item C2,161,3478,361
Item C,Item C3,69,4207,521
Item C,Item C4,69,1982,326
Item C,Item C5,137,4858,322
Item C,Item C6,108,3691,325
Item C,Item C7,106,4079,427
Item C,Item C8,71,3548,528
Item C,Item C9,142,3434,506
Item C,Item C10,50,4239,312
Item C,Item C11,145,4648,342
Item C,Item C12,129,3070,383
Item C,Item C13,83,3364,419
Item C,Item C14,111,2528,528
Item C,Item C15,96,1855,474
Item C,Item C16,50,3253,303
Item C,Item C17,102,2248,414
Item C,Item C18,119,3742,354
Item C,Item C19,126,2151,550
Item C,Item C20,84,3231,361
Item C,Item C21,96,3893,473
Item C,Item C22,138,2368,393
Item C,Item C23,166,2216,326
Item C,Item C24,59,2034,352
Item C,Item C25,94,5197,406
Item C,Item C26,100,2460,448
Item D,Item D1,121,2776,376
Item D,Item D2,111,3387,446
Item E,Item E1,151,2699,542
Item E,Item E2,53,2954,366
Item E,Item E3,167,4381,454
Item E,Item E4,137,4211,455
Item E,Item E5,77,1514,524
Item F,Item F1,125,2258,395
Item G,Item G1,93,3729,416
Item H,Item H1,138,5114,501
Item H,Item H2,131,2628,419
Item H,Item H3,167,5207,477
Item H,Item H4,149,1981,498
Item H,Item H5,105,4100,540
Item H,Item H6,99,1981,408
Item H,Item H7,79,1587,344
Item H,Item H8,91,3476,399
Item H,Item H9,86,4914,331
Item H,Item H10,107,4282,448
Item H,Item H11,88,4600,428
Item H,Item H12,89,4342,491
Item H,Item H13,149,4657,542
Item H,Item H14,101,4141,378
Item H,Item H15,59,1951,388
Item I,Item I1,58,1757,350
Item I,Item I2,90,1689,413
Item I,Item I3,125,4930,332
Item I,Item I4,160,1731,400
Item I,Item I5,158,3916,495
Item I,Item I6,152,4377,418
Item I,Item I7,123,3657,400
Item I,Item I8,146,1747,516
Item J,Item J1,122,4265,306
Item J,Item J2,157,3794,487
Item J,Item J3,62,4187,392
Item J,Item J4,149,2733,354
Item J,Item J5,56,5150,336
Item K,Item K1,124,3345,491
Item K,Item K2,85,3318,432
Item K,Item K3,128,2642,489
Item L,Item L 1,65,3754,325
Item M,Item M1,88,3053,476
Item M,Item M2,167,4471,498
Item M,Item M3,110,3151,450
Item M,Item M4,74,3035,460
Item M,Item M5,66,4333,390
Item M,Item M6,98,4201,417
Item M,Item M7,78,2628,524
Item M,Item M8,128,2356,334
Item M,Item M9,147,4161,508
Item M,Item M10,136,3250,520
Item M,Item M11,63,1946,479
Item M,Item M12,79,4614,491
Item M,Item M13,114,1827,363
Item M,Item M14,163,4513,520
Item M,Item M15,71,2881,478
Item N,Item N1,107,4846,433
Item N,Item N2,134,2816,374
Item O,Item O1,168,3110,400
